2023-08-31T09:34:15.162Z warp-stats: Time since handshake: 0.22s, tx: 0B, rx: 0B, loss: 0.0%, latency: 177ms
2023-08-31T09:35:22.059Z warp-stats: Time since handshake: 0.32s, tx: 0B, rx: 0B, loss: 0.0%, latency: 283ms
2023-08-31T09:37:22.062Z warp-stats: Time since handshake: 0.29s, tx: 501.37KiB, rx: 13.74MiB, loss: 0.9%, latency: 36ms
2023-08-31T09:39:22.063Z warp-stats: Time since handshake: 0.27s, tx: 0.77MiB, rx: 38.86MiB, loss: 0.1%, latency: 83ms
2023-08-31T09:41:22.064Z warp-stats: Time since handshake: 0.28s, tx: 1.15MiB, rx: 66.67MiB, loss: 0.0%, latency: 28ms
2023-08-31T09:43:22.067Z warp-stats: Time since handshake: 0.22s, tx: 2.36MiB, rx: 76.82MiB, loss: 0.0%, latency: 64ms
2023-08-31T09:45:22.068Z warp-stats: Time since handshake: 0.22s, tx: 2.45MiB, rx: 76.92MiB, loss: 0.0%, latency: 38ms
2023-08-31T09:47:22.070Z warp-stats: Time since handshake: 0.22s, tx: 2.58MiB, rx: 77.43MiB, loss: 0.3%, latency: 49ms
2023-08-31T09:49:22.071Z warp-stats: Time since handshake: 0.18s, tx: 3.01MiB, rx: 77.50MiB, loss: 0.0%, latency: 55ms
2023-08-31T09:51:22.073Z warp-stats: Time since handshake: 0.18s, tx: 3.21MiB, rx: 77.59MiB, loss: 0.0%, latency: 44ms
2023-08-31T10:09:59.959Z warp-stats: Time since handshake: 0.44s, tx: 0B, rx: 0B, loss: 0.0%, latency: 372ms
2023-08-31T10:26:25.157Z warp-stats: Time since handshake: 0.20s, tx: 76B, rx: 0B, loss: 0.0%, latency: 156ms
2023-08-31T10:42:28.003Z warp-stats: Time since handshake: 0.21s, tx: 91B, rx: 0B, loss: 0.0%, latency: 173ms
2023-08-31T10:44:25.381Z warp-stats: Time since handshake: 0.14s, tx: 0B, rx: 0B, loss: 0.0%, latency: 103ms
2023-08-31T11:02:07.082Z warp-stats: Time since handshake: 0.25s, tx: 189B, rx: 0B, loss: 0.0%, latency: 221ms
2023-08-31T11:14:36.157Z warp-stats: Time since handshake: 0.49s, tx: 0B, rx: 0B, loss: 0.0%, latency: 446ms
2023-08-31T11:16:36.161Z warp-stats: Time since handshake: 0.20s, tx: 281.78KiB, rx: 450.84KiB, loss: 0.1%, latency: 163ms
2023-08-31T11:20:40.490Z warp-stats: Time since handshake: 0.22s, tx: 426B, rx: 0B, loss: 0.0%, latency: 149ms
2023-08-31T11:36:03.922Z warp-stats: Time since handshake: 0.15s, tx: 91B, rx: 0B, loss: 0.0%, latency: 115ms
2023-08-31T11:45:20.384Z warp-stats: Time since handshake: 0.17s, tx: 91B, rx: 0B, loss: 0.0%, latency: 125ms
2023-08-31T11:47:20.385Z warp-stats: Time since handshake: 120.17s, tx: 2.02MiB, rx: 52.09MiB, loss: 2.3%, latency: 125ms
2023-08-31T11:49:20.387Z warp-stats: Time since handshake: 119.98s, tx: 4.84MiB, rx: 61.84MiB, loss: 3.0%, latency: 13ms
2023-08-31T11:51:20.388Z warp-stats: Time since handshake: 119.98s, tx: 5.27MiB, rx: 62.80MiB, loss: 0.2%, latency: 26ms
2023-08-31T11:53:20.389Z warp-stats: Time since handshake: 119.98s, tx: 5.69MiB, rx: 63.42MiB, loss: 1.4%, latency: 47ms
2023-08-31T11:55:20.390Z warp-stats: Time since handshake: 119.97s, tx: 6.12MiB, rx: 63.82MiB, loss: 0.2%, latency: 12ms
2023-08-31T11:57:20.390Z warp-stats: Time since handshake: 119.96s, tx: 6.48MiB, rx: 64.11MiB, loss: 0.1%, latency: 14ms
2023-08-31T11:59:20.391Z warp-stats: Time since handshake: 119.95s, tx: 7.13MiB, rx: 64.77MiB, loss: 0.1%, latency: 18ms
2023-08-31T12:01:20.391Z warp-stats: Time since handshake: 119.95s, tx: 9.19MiB, rx: 66.82MiB, loss: 0.3%, latency: 49ms
2023-08-31T12:03:20.394Z warp-stats: Time since handshake: 119.94s, tx: 9.81MiB, rx: 67.37MiB, loss: 0.0%, latency: 13ms
2023-08-31T12:05:20.394Z warp-stats: Time since handshake: 119.94s, tx: 11.14MiB, rx: 68.80MiB, loss: 0.2%, latency: 15ms
2023-08-31T12:07:20.395Z warp-stats: Time since handshake: 119.94s, tx: 11.39MiB, rx: 69.04MiB, loss: 0.0%, latency: 17ms
2023-08-31T12:09:20.394Z warp-stats: Time since handshake: 119.93s, tx: 11.74MiB, rx: 69.67MiB, loss: 0.0%, latency: 17ms
2023-08-31T12:11:20.395Z warp-stats: Time since handshake: 119.93s, tx: 11.95MiB, rx: 69.86MiB, loss: 0.2%, latency: 16ms
2023-08-31T12:13:20.394Z warp-stats: Time since handshake: 119.92s, tx: 12.48MiB, rx: 70.32MiB, loss: 0.0%, latency: 14ms
2023-08-31T12:15:20.392Z warp-stats: Time since handshake: 119.90s, tx: 12.92MiB, rx: 70.59MiB, loss: 0.1%, latency: 13ms
2023-08-31T12:17:20.390Z warp-stats: Time since handshake: 119.89s, tx: 13.24MiB, rx: 71.08MiB, loss: 0.0%, latency: 23ms
2023-08-31T12:19:20.389Z warp-stats: Time since handshake: 119.59s, tx: 13.35MiB, rx: 71.15MiB, loss: 0.0%, latency: 12ms
2023-08-31T12:21:20.391Z warp-stats: Time since handshake: 119.29s, tx: 13.43MiB, rx: 71.23MiB, loss: 0.0%, latency: 11ms
2023-08-31T12:23:20.391Z warp-stats: Time since handshake: 118.99s, tx: 13.53MiB, rx: 71.28MiB, loss: 0.0%, latency: 130ms
2023-08-31T12:25:20.393Z warp-stats: Time since handshake: 118.69s, tx: 13.59MiB, rx: 71.32MiB, loss: 0.0%, latency: 15ms
2023-08-31T12:27:20.393Z warp-stats: Time since handshake: 118.68s, tx: 13.76MiB, rx: 71.47MiB, loss: 0.0%, latency: 110ms
2023-08-31T12:29:20.392Z warp-stats: Time since handshake: 118.67s, tx: 13.86MiB, rx: 71.54MiB, loss: 0.0%, latency: 14ms
2023-08-31T12:31:20.393Z warp-stats: Time since handshake: 118.67s, tx: 13.99MiB, rx: 71.67MiB, loss: 0.4%, latency: 75ms
2023-08-31T12:33:20.394Z warp-stats: Time since handshake: 118.37s, tx: 14.10MiB, rx: 71.74MiB, loss: 0.0%, latency: 14ms
2023-08-31T12:35:20.395Z warp-stats: Time since handshake: 118.37s, tx: 18.03MiB, rx: 72.54MiB, loss: 1.5%, latency: 23ms
2023-08-31T12:37:20.395Z warp-stats: Time since handshake: 118.36s, tx: 18.57MiB, rx: 73.20MiB, loss: 0.1%, latency: 18ms
2023-08-31T12:39:20.394Z warp-stats: Time since handshake: 118.06s, tx: 19.16MiB, rx: 74.26MiB, loss: 0.0%, latency: 14ms
2023-08-31T12:41:20.396Z warp-stats: Time since handshake: 118.04s, tx: 19.77MiB, rx: 74.79MiB, loss: 0.0%, latency: 12ms
2023-08-31T12:43:20.396Z warp-stats: Time since handshake: 118.03s, tx: 20.03MiB, rx: 74.99MiB, loss: 0.0%, latency: 16ms
2023-08-31T12:45:20.383Z warp-stats: Time since handshake: 118.02s, tx: 20.49MiB, rx: 75.39MiB, loss: 0.0%, latency: 16ms
2023-08-31T12:47:20.383Z warp-stats: Time since handshake: 117.73s, tx: 20.90MiB, rx: 75.64MiB, loss: 0.1%, latency: 16ms
2023-08-31T12:49:20.382Z warp-stats: Time since handshake: 117.72s, tx: 21.40MiB, rx: 76.09MiB, loss: 0.0%, latency: 19ms
2023-08-31T12:51:20.383Z warp-stats: Time since handshake: 117.72s, tx: 22.16MiB, rx: 76.97MiB, loss: 0.0%, latency: 14ms
2023-08-31T12:53:20.383Z warp-stats: Time since handshake: 117.71s, tx: 22.78MiB, rx: 77.70MiB, loss: 0.0%, latency: 123ms
2023-08-31T12:55:20.383Z warp-stats: Time since handshake: 117.71s, tx: 22.89MiB, rx: 77.79MiB, loss: 0.2%, latency: 25ms
2023-08-31T12:57:20.384Z warp-stats: Time since handshake: 117.71s, tx: 23.20MiB, rx: 78.46MiB, loss: 0.1%, latency: 44ms
2023-08-31T12:59:20.382Z warp-stats: Time since handshake: 117.71s, tx: 23.90MiB, rx: 79.23MiB, loss: 0.1%, latency: 12ms
2023-08-31T13:01:20.383Z warp-stats: Time since handshake: 117.71s, tx: 24.04MiB, rx: 79.52MiB, loss: 0.3%, latency: 73ms
2023-08-31T13:03:20.384Z warp-stats: Time since handshake: 117.71s, tx: 24.35MiB, rx: 79.74MiB, loss: 0.0%, latency: 13ms
2023-08-31T13:05:20.384Z warp-stats: Time since handshake: 117.56s, tx: 25.20MiB, rx: 80.86MiB, loss: 0.0%, latency: 63ms
2023-08-31T13:07:20.383Z warp-stats: Time since handshake: 117.54s, tx: 25.88MiB, rx: 81.55MiB, loss: 0.0%, latency: 14ms
2023-08-31T13:09:20.383Z warp-stats: Time since handshake: 117.24s, tx: 26.12MiB, rx: 81.75MiB, loss: 0.0%, latency: 16ms
