2023-08-12T19:57:39.757Z warp-stats: Time since handshake: 118.94s, tx: 16.70MiB, rx: 43.72MiB, loss: 0.1%, latency: 73ms
2023-08-12T19:59:39.757Z warp-stats: Time since handshake: 118.94s, tx: 17.37MiB, rx: 44.40MiB, loss: 0.0%, latency: 13ms
2023-08-12T20:01:39.758Z warp-stats: Time since handshake: 118.94s, tx: 17.94MiB, rx: 44.93MiB, loss: 0.1%, latency: 28ms
2023-08-12T20:03:39.758Z warp-stats: Time since handshake: 118.90s, tx: 18.49MiB, rx: 47.22MiB, loss: 0.0%, latency: 13ms
2023-08-12T20:05:39.758Z warp-stats: Time since handshake: 118.90s, tx: 19.04MiB, rx: 47.77MiB, loss: 0.0%, latency: 15ms
2023-08-12T20:07:39.820Z warp-stats: Time since handshake: 118.60s, tx: 19.47MiB, rx: 48.22MiB, loss: 0.1%, latency: 33ms
2023-08-12T20:09:39.821Z warp-stats: Time since handshake: 118.60s, tx: 19.85MiB, rx: 48.59MiB, loss: 0.3%, latency: 14ms
2023-08-12T20:11:39.823Z warp-stats: Time since handshake: 118.55s, tx: 20.29MiB, rx: 49.03MiB, loss: 0.0%, latency: 12ms
2023-08-12T20:13:39.825Z warp-stats: Time since handshake: 118.54s, tx: 20.71MiB, rx: 49.48MiB, loss: 0.3%, latency: 13ms
2023-08-12T20:15:39.828Z warp-stats: Time since handshake: 118.54s, tx: 21.18MiB, rx: 49.96MiB, loss: 0.0%, latency: 15ms
2023-08-12T20:17:39.829Z warp-stats: Time since handshake: 118.54s, tx: 21.67MiB, rx: 50.43MiB, loss: 0.0%, latency: 13ms
2023-08-12T20:19:39.831Z warp-stats: Time since handshake: 118.54s, tx: 22.15MiB, rx: 51.16MiB, loss: 0.0%, latency: 16ms
2023-08-12T20:21:39.832Z warp-stats: Time since handshake: 118.53s, tx: 22.76MiB, rx: 51.98MiB, loss: 0.0%, latency: 16ms
2023-08-12T20:23:39.834Z warp-stats: Time since handshake: 118.49s, tx: 24.32MiB, rx: 66.83MiB, loss: 0.1%, latency: 40ms
2023-08-12T20:25:39.836Z warp-stats: Time since handshake: 118.48s, tx: 24.87MiB, rx: 67.44MiB, loss: 0.1%, latency: 16ms
2023-08-12T20:27:39.837Z warp-stats: Time since handshake: 118.48s, tx: 25.47MiB, rx: 68.01MiB, loss: 0.1%, latency: 13ms
2023-08-12T20:29:39.840Z warp-stats: Time since handshake: 118.48s, tx: 26.06MiB, rx: 68.57MiB, loss: 0.0%, latency: 14ms
2023-08-12T20:31:39.841Z warp-stats: Time since handshake: 118.47s, tx: 26.61MiB, rx: 69.09MiB, loss: 0.1%, latency: 15ms
2023-08-12T20:33:39.844Z warp-stats: Time since handshake: 118.47s, tx: 27.14MiB, rx: 70.15MiB, loss: 0.1%, latency: 17ms
2023-08-12T20:35:39.845Z warp-stats: Time since handshake: 118.46s, tx: 27.96MiB, rx: 72.81MiB, loss: 0.0%, latency: 16ms
2023-08-12T20:37:39.847Z warp-stats: Time since handshake: 118.45s, tx: 28.88MiB, rx: 73.97MiB, loss: 0.0%, latency: 13ms
2023-08-12T20:39:39.849Z warp-stats: Time since handshake: 118.45s, tx: 29.85MiB, rx: 76.13MiB, loss: 0.0%, latency: 13ms
2023-08-12T20:41:39.850Z warp-stats: Time since handshake: 118.44s, tx: 30.28MiB, rx: 76.54MiB, loss: 0.0%, latency: 16ms
2023-08-12T20:57:24.631Z warp-stats: Time since handshake: 0.22s, tx: 0.58KiB, rx: 0B, loss: 0.0%, latency: 138ms
2023-08-12T21:14:25.608Z warp-stats: Time since handshake: 0.17s, tx: 270B, rx: 0B, loss: 0.0%, latency: 114ms
2023-08-12T21:29:41.296Z warp-stats: Time since handshake: 0.82s, tx: 64B, rx: 0B, loss: 0.0%, latency: 769ms
2023-08-12T21:47:21.770Z warp-stats: Time since handshake: 0.20s, tx: 1.21KiB, rx: 0B, loss: 0.0%, latency: 154ms
2023-08-12T22:04:02.809Z warp-stats: Time since handshake: 0.18s, tx: 64B, rx: 0B, loss: 0.0%, latency: 125ms
2023-08-12T22:19:54.697Z warp-stats: Time since handshake: 0.18s, tx: 0B, rx: 0B, loss: 0.0%, latency: 135ms
2023-08-12T22:37:20.681Z warp-stats: Time since handshake: 0.21s, tx: 0.54KiB, rx: 0B, loss: 0.0%, latency: 145ms
2023-08-12T22:53:17.620Z warp-stats: Time since handshake: 0.16s, tx: 64B, rx: 0B, loss: 0.0%, latency: 117ms
