2023-08-12T18:03:48.057Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-12T18:05:48.058Z warp-dns-stats: Queries: 180, Success: 60.0%, TimedOut: 0.0%, NoRecordsFound: 40.0%, Other Error: 0.0%, Avg Duration: 39.01ms
2023-08-12T18:07:48.061Z warp-dns-stats: Queries: 55, Success: 83.6%, TimedOut: 0.0%, NoRecordsFound: 16.4%, Other Error: 0.0%, Avg Duration: 17.02ms
2023-08-12T18:26:00.016Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-12T18:37:11.615Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-12T18:42:48.879Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-12T18:44:48.877Z warp-dns-stats: Queries: 152, Success: 69.7%, TimedOut: 0.0%, NoRecordsFound: 30.3%, Other Error: 0.0%, Avg Duration: 12.72ms
2023-08-12T18:46:48.877Z warp-dns-stats: Queries: 57, Success: 84.2%, TimedOut: 0.0%, NoRecordsFound: 15.8%, Other Error: 0.0%, Avg Duration: 4.75ms
2023-08-12T18:47:39.925Z warp-dns-stats: Queries: 0, Success: 0.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 0.00ms
2023-08-12T18:49:39.915Z warp-dns-stats: Queries: 138, Success: 70.3%, TimedOut: 0.0%, NoRecordsFound: 29.7%, Other Error: 0.0%, Avg Duration: 13.64ms
2023-08-12T18:51:39.916Z warp-dns-stats: Queries: 48, Success: 81.2%, TimedOut: 0.0%, NoRecordsFound: 18.8%, Other Error: 0.0%, Avg Duration: 2.81ms
2023-08-12T18:53:39.917Z warp-dns-stats: Queries: 46, Success: 89.1%, TimedOut: 2.2%, NoRecordsFound: 8.7%, Other Error: 0.0%, Avg Duration: 92.78ms
2023-08-12T18:55:39.917Z warp-dns-stats: Queries: 36, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 3.81ms
2023-08-12T18:57:39.917Z warp-dns-stats: Queries: 42, Success: 92.9%, TimedOut: 0.0%, NoRecordsFound: 7.1%, Other Error: 0.0%, Avg Duration: 4.19ms
2023-08-12T18:59:39.917Z warp-dns-stats: Queries: 56, Success: 73.2%, TimedOut: 3.6%, NoRecordsFound: 23.2%, Other Error: 0.0%, Avg Duration: 149.84ms
2023-08-12T19:01:39.917Z warp-dns-stats: Queries: 41, Success: 95.1%, TimedOut: 0.0%, NoRecordsFound: 4.9%, Other Error: 0.0%, Avg Duration: 9.24ms
2023-08-12T19:03:39.916Z warp-dns-stats: Queries: 54, Success: 87.0%, TimedOut: 0.0%, NoRecordsFound: 13.0%, Other Error: 0.0%, Avg Duration: 7.46ms
2023-08-12T19:05:39.917Z warp-dns-stats: Queries: 95, Success: 97.9%, TimedOut: 0.0%, NoRecordsFound: 2.1%, Other Error: 0.0%, Avg Duration: 12.79ms
2023-08-12T19:07:39.916Z warp-dns-stats: Queries: 71, Success: 95.8%, TimedOut: 0.0%, NoRecordsFound: 4.2%, Other Error: 0.0%, Avg Duration: 12.49ms
2023-08-12T19:09:39.917Z warp-dns-stats: Queries: 65, Success: 96.9%, TimedOut: 0.0%, NoRecordsFound: 3.1%, Other Error: 0.0%, Avg Duration: 42.55ms
2023-08-12T19:11:39.917Z warp-dns-stats: Queries: 64, Success: 98.4%, TimedOut: 1.6%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 75.67ms
2023-08-12T19:13:39.917Z warp-dns-stats: Queries: 69, Success: 91.3%, TimedOut: 0.0%, NoRecordsFound: 8.7%, Other Error: 0.0%, Avg Duration: 11.93ms
2023-08-12T19:15:39.917Z warp-dns-stats: Queries: 65, Success: 84.6%, TimedOut: 0.0%, NoRecordsFound: 15.4%, Other Error: 0.0%, Avg Duration: 9.49ms
2023-08-12T19:17:39.918Z warp-dns-stats: Queries: 40, Success: 92.5%, TimedOut: 0.0%, NoRecordsFound: 7.5%, Other Error: 0.0%, Avg Duration: 4.70ms
2023-08-12T19:19:39.918Z warp-dns-stats: Queries: 43, Success: 95.3%, TimedOut: 0.0%, NoRecordsFound: 4.7%, Other Error: 0.0%, Avg Duration: 7.93ms
2023-08-12T19:21:39.918Z warp-dns-stats: Queries: 44, Success: 95.5%, TimedOut: 0.0%, NoRecordsFound: 4.5%, Other Error: 0.0%, Avg Duration: 9.77ms
2023-08-12T19:23:39.917Z warp-dns-stats: Queries: 57, Success: 94.7%, TimedOut: 0.0%, NoRecordsFound: 5.3%, Other Error: 0.0%, Avg Duration: 11.49ms
2023-08-12T19:25:39.918Z warp-dns-stats: Queries: 45, Success: 93.3%, TimedOut: 0.0%, NoRecordsFound: 6.7%, Other Error: 0.0%, Avg Duration: 5.11ms
2023-08-12T19:27:39.917Z warp-dns-stats: Queries: 38, Success: 100.0%, TimedOut: 0.0%, NoRecordsFound: 0.0%, Other Error: 0.0%, Avg Duration: 7.13ms
